City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Longyearbyen,SJ,78.2186,15.6401,26.6,74,75,12.66,light snow
106,Smithers,CA,54.7804,-127.1743,39.2,81,90,4.61,overcast clouds
107,Havelock,US,34.8791,-76.9013,64.0,89,100,3.0,overcast clouds
108,Kaitangata,NZ,-46.2817,169.8464,62.01,92,58,11.01,broken clouds
109,Torbay,CA,47.6666,-52.7314,37.0,75,75,3.44,broken clouds
110,Shimoda,JP,34.6667,138.95,60.8,63,75,5.75,heavy intensity rain
111,Brodick,GB,55.5754,-5.1472,46.4,81,20,10.36,few clouds
112,Vila Velha,BR,-20.3297,-40.2925,78.8,83,40,2.3,scattered clouds
113,Nanortalik,GL,60.1432,-45.2371,18.28,55,25,32.95,scattered clouds
114,Barrow,US,71.2906,-156.7887,-5.8,77,1,5.75,clear sky
115,Carballo,ES,43.213,-8.691,46.99,100,0,4.61,clear sky
116,Shingu,JP,33.7333,135.9833,53.6,87,75,8.05,moderate rain
117,Tabou,CI,4.423,-7.3528,77.99,88,83,2.48,broken clouds
118,Flinders,AU,-34.5833,150.8552,77.0,62,70,5.01,broken clouds
119,Chuy,UY,-33.6971,-53.4616,66.63,83,8,7.99,clear sky
120,Pevek,RU,69.7008,170.3133,-12.59,90,100,2.57,overcast clouds
121,Salalah,OM,17.0151,54.0924,77.0,83,20,5.75,few clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,80.01,87,32,1.01,light rain
123,Iqaluit,CA,63.7506,-68.5145,-18.0,69,75,7.36,broken clouds
124,Usinsk,RU,65.9939,57.5281,25.29,94,84,14.0,broken clouds
125,Itarema,BR,-2.9248,-39.9167,77.63,84,95,7.09,overcast clouds
126,Brewster,US,41.3973,-73.6171,50.0,91,100,5.73,moderate rain
127,Jamestown,US,42.097,-79.2353,64.4,55,75,11.21,broken clouds
128,Pitimbu,BR,-7.4706,-34.8086,75.2,100,75,9.22,broken clouds
129,Majene,ID,-3.5403,118.9707,79.86,82,99,2.48,overcast clouds
130,Sioux Lookout,CA,50.1001,-91.917,28.4,80,90,11.5,light snow
131,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,8.05,light rain
132,Tiksi,RU,71.6872,128.8694,-21.23,95,62,4.34,broken clouds
133,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,10.36,broken clouds
134,Baykit,RU,61.67,96.37,19.92,96,100,2.53,light snow
135,Marawi,PH,7.9986,124.2928,73.69,74,88,1.66,overcast clouds
136,Tuatapere,NZ,-46.1333,167.6833,60.01,79,7,1.99,clear sky
137,Santo Domingo,DO,18.5001,-69.9886,80.01,78,40,4.61,scattered clouds
138,Harper,LR,4.375,-7.7169,78.49,88,64,3.02,broken clouds
139,College,US,64.8569,-147.8028,27.0,79,90,5.75,light snow
140,Ukwa,IN,21.9667,80.4667,70.84,31,1,2.44,clear sky
141,Caravelas,BR,-17.7125,-39.2481,75.87,82,0,5.86,clear sky
142,Coihaique,CL,-45.5752,-72.0662,53.6,58,20,4.61,few clouds
143,Belaya Gora,RU,68.5333,146.4167,-13.47,92,99,3.38,overcast clouds
144,Yellowknife,CA,62.456,-114.3525,8.6,52,1,11.5,clear sky
145,Storsteinnes,NO,69.2408,19.2344,39.2,81,75,17.27,light rain
146,Kavaratti,IN,10.5669,72.642,81.95,76,59,4.36,broken clouds
147,Buraydah,SA,26.326,43.975,77.0,36,0,10.36,clear sky
148,Bima,ID,-8.4667,118.7167,79.93,87,59,2.13,broken clouds
149,Aleksandrov Gay,RU,50.147,48.5704,32.79,86,100,23.22,overcast clouds
150,Ivanteyevka,RU,55.9711,37.9208,33.8,60,75,6.71,broken clouds
151,Hedaru,TZ,-4.5,37.9,70.12,89,33,0.74,scattered clouds
152,Payerne,CH,46.822,6.9361,37.99,75,12,1.14,few clouds
153,Ranau,MY,5.9538,116.6641,78.8,83,20,5.75,light rain
154,Semey,KZ,50.4111,80.2275,24.8,93,0,4.47,clear sky
155,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.62,86,3,2.73,clear sky
156,La Ronge,CA,55.1001,-105.2842,24.8,58,100,12.66,light snow
157,Hershey,US,40.2859,-76.6503,55.99,94,90,3.69,mist
158,Griffith,US,41.5284,-87.4237,57.2,67,90,18.41,overcast clouds
159,Pimentel,PE,-6.8367,-79.9342,73.4,73,0,20.71,clear sky
160,Barranca,PE,-10.75,-77.7667,71.42,77,52,9.04,broken clouds
161,Tres Arroyos,AR,-38.3739,-60.2798,64.11,79,8,8.16,clear sky
162,Noumea,NC,-22.2763,166.4572,86.0,51,0,6.91,clear sky
163,Gat,IL,31.61,34.7642,59.0,100,40,9.37,scattered clouds
164,Sitka,US,57.0531,-135.33,37.4,87,90,10.36,light rain
165,Tuy Hoa,VN,13.0833,109.3,74.8,89,100,4.68,overcast clouds
166,Northam,GB,51.0333,-4.2167,43.0,93,72,5.01,broken clouds
167,Yuxia,CN,34.0615,108.6291,63.0,47,77,15.66,broken clouds
168,Oxford,GB,51.7522,-1.256,39.99,93,56,5.75,broken clouds
169,Birao,CF,10.2849,22.7882,82.33,38,24,2.53,few clouds
170,Oranjestad,AW,12.524,-70.027,80.6,69,20,20.71,few clouds
171,Provideniya,RU,64.3833,-173.3,19.4,73,75,15.66,broken clouds
172,Zemio,CF,5.0314,25.1361,70.11,83,71,2.82,broken clouds
173,Tasiilaq,GL,65.6145,-37.6368,8.6,56,75,11.5,broken clouds
174,Meulaboh,ID,4.1363,96.1285,75.02,86,94,3.11,overcast clouds
175,Cascavel,BR,-24.9558,-53.4553,64.67,95,81,4.79,broken clouds
