City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
288,Tautira,PF,89.6,light rain,-17.7333,-149.15,Pension Oaoa
294,San Carlos Del Zulia,VE,77.52,overcast clouds,9.0,-71.9135,Hotel El Manantial
297,Kavieng,PG,83.43,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
307,Pundaguitan,PH,81.25,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
308,Charters Towers,AU,82.44,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
323,Kuah,MY,77.0,few clouds,6.3265,99.8432,Azio Hotel
324,Amahai,ID,83.64,light rain,-3.3333,128.9167,HOTEL ISABELA
328,Bontang,ID,78.37,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
330,Paraiso,CR,77.0,broken clouds,9.8383,-83.8656,Rinconcito Verde
332,Baracoa,CU,75.88,few clouds,20.3467,-74.4958,Hostal Rio Miel
333,Conakry,GN,78.84,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
339,Waingapu,ID,80.96,few clouds,-9.6567,120.2641,Pondok Wisata Elim
341,Phan Thiet,VN,78.26,overcast clouds,10.9333,108.1,Hotel Saigon-PT
350,Lakatoro,VU,82.8,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
365,Mirante Do Paranapanema,BR,84.2,clear sky,-22.2919,-51.9064,Estância das Flores
368,Karratha,AU,84.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
369,Dhaka,BD,80.6,haze,23.7104,90.4074,Main Hostel SSMC
370,Sebring,US,78.8,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
374,Montecristi,EC,80.6,few clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
375,San Pedro,PH,84.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
377,Hadejia,NG,81.88,broken clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
379,Winter Garden,US,77.0,overcast clouds,28.5653,-81.5862,Fairfield Inn & Suites by Marriott Orlando Ocoee
382,Tadine,NC,79.03,broken clouds,-21.55,167.8833,
397,Bandarbeyla,SO,75.47,clear sky,9.4942,50.8122,JABIR HOTEL
405,Ca Mau,VN,81.23,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
408,Quang Ngai,VN,75.09,overcast clouds,15.1167,108.8,Central Hotel
416,Piacabucu,BR,78.85,clear sky,-10.4056,-36.4344,Piaçabuçu News
418,Sibolga,ID,75.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
426,Thinadhoo,MV,81.46,overcast clouds,0.5333,72.9333,
434,Princeton,US,78.8,clear sky,25.5384,-80.4089,American Best Inn
436,Biak,ID,79.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
439,Roebourne,AU,83.77,clear sky,-20.7833,117.1333,Harding River Caravan Park
440,Bonthe,SL,78.1,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
442,Dhidhdhoo,MV,82.36,overcast clouds,6.8833,73.1,Dhidhoo beach
444,Lai,TD,83.7,overcast clouds,9.3952,16.2989,
