City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Bukama,CD,2021-03-15 03:04:03,-9.2,25.85,63.66,94,25,1.28
167,Dwarka,IN,2021-03-15 03:04:03,22.2394,68.9678,78.37,64,0,14.14
168,Shuangyang,CN,2021-03-15 03:04:04,43.5242,125.6736,42.8,81,75,26.84
169,Gazanjyk,TM,2021-03-15 03:04:06,39.2446,55.5154,19.92,92,23,10.69
170,Dedza,MW,2021-03-15 03:04:07,-14.3779,34.3332,57.18,95,76,3.27
171,Baykit,RU,2021-03-15 03:04:07,61.67,96.37,10.08,90,99,7.38
172,Kruisfontein,ZA,2021-03-15 03:04:08,-34.0033,24.7314,68.0,97,100,1.01
173,Kalmunai,LK,2021-03-15 03:04:08,7.4167,81.8167,80.53,72,58,4.94
174,Salinopolis,BR,2021-03-15 03:04:09,-0.6136,-47.3561,78.1,85,2,5.37
175,Kijang,KR,2021-03-15 03:04:10,35.2442,129.2139,62.6,39,82,10.36
176,Mumford,GH,2021-03-15 03:04:10,5.2618,-0.759,78.8,80,100,7.63
177,Quatre Cocos,MU,2021-03-15 03:04:11,-20.2078,57.7625,77.0,94,75,11.54
178,Yantai,CN,2021-03-15 03:04:12,37.5333,121.4,47.79,79,100,8.23
179,Cidreira,BR,2021-03-15 03:04:12,-30.1811,-50.2056,72.93,86,54,7.11
180,Taksimo,RU,2021-03-15 03:04:13,56.3444,114.8794,8.56,64,28,4.92
181,Plouzane,FR,2021-03-15 03:04:13,48.3833,-4.6167,50.0,87,90,12.66
182,Nanortalik,GL,2021-03-15 03:04:14,60.1432,-45.2371,28.8,83,100,12.12
183,Daru,PG,2021-03-15 03:04:14,-9.0763,143.2092,83.08,78,68,5.73
184,Lagunas,PE,2021-03-15 03:04:15,-5.2269,-75.6753,71.01,99,99,1.01
185,Sarangani,PH,2021-03-15 03:04:15,5.4033,125.4636,83.1,71,0,2.15
186,Ukiah,US,2021-03-15 03:04:16,39.1502,-123.2078,42.8,81,90,5.75
